CPU,NUMERO_ITERACION,LATENCIA
0,486,27913
0,487,23450
0,488,23154
0,489,23043
0,490,22968
0,491,23117
0,492,23025
0,493,23580
0,494,22988
0,495,23117
0,496,29876
0,497,28339
0,498,27988
0,499,27358
0,500,27488
0,501,27821
0,502,27654
0,503,27931
0,504,27562
0,505,27765
0,506,27525
0,507,27413
0,508,27487
0,509,27413
0,510,27543
0,511,27765
0,512,28487
0,513,27487
0,514,27468
0,515,28172
0,516,27506
0,517,27524
0,518,27432
0,519,27524
0,520,27524
0,521,27543
0,522,27579
0,523,27469
0,524,27506
0,525,28117
0,526,27561
0,527,27432
0,528,27506
0,529,27431
0,530,27580
0,531,27395
0,532,27506
0,533,27320
0,534,28191
0,535,27506
0,536,27580
0,537,27283
0,538,27265
0,539,27395
0,540,27320
0,541,27117
0,542,27061
0,543,27395
0,544,27858
0,545,27542
0,546,27524
0,547,27302
0,548,27283
0,549,27321
0,550,27358
0,551,27394
0,552,27413
0,553,27339
0,554,27635
0,555,27339
0,556,27357
0,557,27450
0,558,27173
0,559,27357
0,560,27414
0,561,27505
0,562,27302
0,563,27302
0,564,27820
0,565,23487
0,566,23469
0,567,23154
0,568,23210
0,569,23172
0,570,23135
0,571,23117
0,572,23284
0,573,40969
0,574,29080
0,575,27746
0,576,26654
0,577,26839
0,578,26858
0,579,26913
0,580,26691
0,581,26672
0,582,26839
0,583,27173
0,584,26820
0,585,26654
0,586,26598
0,587,26543
0,588,26561
0,589,26710
0,590,26673
0,591,26654
0,592,26636
0,593,27469
0,594,27024
0,595,26969
0,596,26543
0,597,26413
0,598,26654
0,599,26691
0,600,26580
0,601,26950
0,602,31302
0,603,26839
0,604,26654
0,605,26672
0,606,26765
0,607,27061
0,608,26895
0,609,26691
0,610,26765
0,611,26673
0,612,26931
0,613,26802
0,614,26783
0,615,26672
0,616,26765
0,617,26636
0,618,26506
0,619,26617
0,620,26746
0,621,26599
0,622,27265
0,623,26654
0,624,26635
0,625,26635
0,626,26580
0,627,26562
0,628,26617
0,629,26691
0,630,26561
0,631,26673
0,632,27080
0,633,26710
0,634,26654
0,635,26654
0,636,26710
0,637,26709
0,638,26598
0,639,26562
0,640,26691
0,641,30413
0,642,26635
0,643,26709
0,644,26580
0,645,26599
0,646,26635
0,647,26672
0,648,26654
0,649,26709
0,650,26765
0,651,27117
0,652,26635
0,653,26821
0,654,26821
0,655,26765
0,656,26746
0,657,26579
0,658,26672
0,659,26617
0,660,26783
0,661,27154
0,662,26710
0,663,26580
0,664,26580
0,665,26635
0,666,26617
0,667,26636
0,668,26506
0,669,26506
0,670,30247
0,671,26931
0,672,26747
0,673,26654
0,674,26691
0,675,26450
0,676,26580
0,677,26524
0,678,26617
0,679,26524
0,680,27265
0,681,26598
0,682,26765
0,683,26635
0,684,26524
0,685,26654
0,686,26635
0,687,26561
0,688,26561
0,689,26580
0,690,27210
0,691,26617
0,692,26635
0,693,26579
0,694,26580
0,695,26580
0,696,26617
0,697,26672
0,698,26635
0,699,26691
0,700,27191
0,701,26672
0,702,26506
0,703,26543
0,704,26709
0,705,26542
0,706,26246
0,707,26617
0,708,26617
0,709,30339
0,710,26858
0,711,26561
0,712,26691
0,713,26672
0,714,26654
0,715,26765
0,716,26562
0,717,26579
0,718,26599
0,719,27117
0,720,26599
0,721,26524
0,722,26710
0,723,26710
0,724,26673
0,725,26616
0,726,26654
0,727,26561
0,728,26598
0,729,27024
0,730,26635
0,731,26542
0,732,26654
0,733,26673
0,734,26728
0,735,26635
0,736,26599
0,737,26654
0,738,30487
0,739,26580
0,740,26690
0,741,26543
0,742,26617
0,743,26617
0,744,26654
0,745,26672
0,746,26654
0,747,26598
0,748,27210
0,749,26636
0,750,26673
0,751,26561
0,752,26765
0,753,26728
0,754,26728
0,755,26562
0,756,26653
0,757,26580
0,758,27173
0,759,26599
0,760,26209
0,761,26302
0,762,26653
0,763,26617
0,764,26636
0,765,26506
0,766,26543
0,767,26635
0,768,26839
0,769,26635
0,770,26525
0,771,26487
0,772,26691
0,773,26561
0,774,26561
0,775,26506
0,776,26580
0,777,30413
0,778,26709
0,779,26598
0,780,26617
0,781,26599
0,782,26635
0,783,26654
0,784,26654
0,785,26542
0,786,26580
0,787,27135
0,788,26635
0,789,26487
0,790,26636
0,791,26561
0,792,26506
0,793,26598
0,794,26617
0,795,26580
0,796,26617
0,797,27025
0,798,26617
0,799,26542
0,800,26525
0,801,26505
0,802,26710
0,803,26543
0,804,26579
0,805,26543
0,806,30321
0,807,26783
0,808,26617
0,809,26542
0,810,26635
0,811,26580
0,812,26654
0,813,26542
0,814,26636
0,815,26339
0,816,27172
0,817,26598
0,818,26617
0,819,26709
0,820,26505
0,821,26524
0,822,26617
0,823,26728
0,824,26654
0,825,26617
0,826,27117
0,827,26653
0,828,26599
0,829,26617
0,830,26598
0,831,26635
0,832,26654
0,833,26599
0,834,26616
0,835,26487
0,836,27024
0,837,26562
0,838,26598
0,839,26543
0,840,26728
0,841,26524
0,842,26543
0,843,26561
0,844,26598
0,845,30413
0,846,26987
0,847,26636
0,848,26709
0,849,26487
0,850,26599
0,851,26635
0,852,26598
0,853,26599
0,854,26747
0,855,27228
0,856,26820
0,857,26524
0,858,26543
0,859,26598
0,860,26617
0,861,26561
0,862,26616
0,863,26617
0,864,26506
0,865,36635
0,866,28673
0,867,26969
0,868,26691
0,869,26580
0,870,26357
0,871,26672
0,872,26524
0,873,26543
0,874,30691
0,875,26858
0,876,26821
0,877,26691
0,878,26617
0,879,26728
0,880,26561
0,881,26598
0,882,26561
0,883,26728
0,884,30080
0,885,26858
0,886,26469
0,887,26709
0,888,26728
0,889,26895
0,890,26839
0,891,26802
0,892,26617
0,893,26654
0,894,27246
0,895,26672
0,896,26709
0,897,26728
0,898,26598
0,899,26728
0,900,26765
0,901,26765
0,902,26524
0,903,26784
0,904,27117
0,905,26617
0,906,26543
0,907,26728
0,908,26542
0,909,26617
0,910,26543
0,911,26691
0,912,26543
0,913,30265
0,914,26524
0,915,26728
0,916,26765
0,917,26654
0,918,26525
0,919,26654
0,920,26579
0,921,26654
0,922,26561
0,923,27190
0,924,26543
0,925,26265
0,926,26562
0,927,26765
0,928,26487
0,929,26710
0,930,26561
0,931,26654
0,932,26598
0,933,27135
0,934,26561
0,935,26654
0,936,26543
0,937,26690
0,938,26765
0,939,26764
0,940,26690
0,941,26524
0,942,30284
0,943,26821
0,944,26709
0,945,26950
0,946,26765
0,947,26728
0,948,26598
0,949,26710
0,950,26562
0,951,26653
0,952,29895
0,953,26857
0,954,26599
0,955,26728
0,956,26487
0,957,26636
0,958,26654
0,959,26617
0,960,26598
0,961,26672
0,962,26598
0,963,26395
0,964,25858
0,965,25932
0,966,26098
0,967,25857
0,968,25931
0,969,25821
0,970,25913
0,971,28858
0,972,27987
0,973,27543
0,974,27302
0,975,27247
0,976,27524
0,977,27450
0,978,27468
0,979,27006
0,980,27173
0,981,31135
0,982,27654
0,983,27394
0,984,27488
0,985,27487
0,986,27469
0,987,27542
0,988,27525
0,989,27469
0,990,27358
0,991,28024
0,992,27561
0,993,27394
0,994,27506
0,995,27468
0,996,27487
0,997,27469
0,998,27450
0,999,27524
0,1000,27468
0,1001,28117
0,1002,27599
0,1003,27505
0,1004,27524
0,1005,27450
0,1006,27376
0,1007,27376
0,1008,27376
0,1009,27284
0,1010,31006
0,1011,27524
0,1012,27376
0,1013,27302
0,1014,27413
0,1015,27283
0,1016,27394
0,1017,27394
0,1018,27450
0,1019,27376
0,1020,32709
0,1021,27673
0,1022,27450
0,1023,27413
0,1024,27784
0,1025,27728
0,1026,27469
0,1027,27469
0,1028,27505
0,1029,27432
0,1030,27783
0,1031,27451
0,1032,27376
0,1033,27376
0,1034,27376
0,1035,27543
0,1036,27487
0,1037,27598
0,1038,27080
0,1039,31247
0,1040,27580
0,1041,27579
0,1042,27562
0,1043,27543
0,1044,27617
0,1045,27432
0,1046,27598
0,1047,27469
0,1048,27616
0,1049,31042
0,1050,27506
0,1051,27636
0,1052,27450
0,1053,27580
0,1054,27431
0,1055,27562
0,1056,27506
0,1057,27635
0,1058,27580
0,1059,28154
0,1060,27635
0,1061,27468
0,1062,27635
0,1063,27524
0,1064,27413
0,1065,27505
0,1066,27599
0,1067,27395
0,1068,27635
0,1069,27969
0,1070,27617
0,1071,27524
0,1072,27654
0,1073,27487
0,1074,27598
0,1075,27432
0,1076,27654
0,1077,27431
0,1078,31302
0,1079,27746
0,1080,27524
0,1081,27450
0,1082,27505
0,1083,27468
0,1084,27320
0,1085,27450
0,1086,27246
0,1087,27468
0,1088,30820
0,1089,27469
0,1090,27413
0,1091,27450
0,1092,27394
0,1093,27339
0,1094,27394
0,1095,27321
0,1096,27098
0,1097,27358
0,1098,27950
0,1099,27302
0,1100,27339
0,1101,27321
0,1102,27431
0,1103,27302
0,1104,27414
0,1105,27320
0,1106,27505
0,1107,31136
0,1108,27561
0,1109,27358
0,1110,27431
0,1111,27395
0,1112,27487
0,1113,27395
0,1114,27321
0,1115,27450
0,1116,27376
0,1117,27728
0,1118,27394
0,1119,27339
0,1120,27524
0,1121,27358
0,1122,27376
0,1123,27413
0,1124,27431
0,1125,27340
0,1126,27394
0,1127,28080
0,1128,27468
0,1129,27450
0,1130,27413
0,1131,27450
0,1132,27450
0,1133,27339
0,1134,27395
0,1135,27468
0,1136,27487
0,1137,27876
0,1138,27487
0,1139,27283
0,1140,27450
0,1141,27469
0,1142,27506
0,1143,27468
0,1144,27357
0,1145,27320
0,1146,31099
0,1147,27598
0,1148,27432
0,1149,27431
0,1150,27358
0,1151,27506
0,1152,27487
0,1153,27117
0,1154,27413
0,1155,27377
0,1156,30709
